product_id,category,our_cost,competitor_price,stock_level,historical_sales_volume,our_price,optimized_price,pricing_strategy,projected_profit_per_unit,total_projected_revenue
PROD_1000,Beauty,280.31,326.6,56,392,383.45,383.45,Hold Price,103.14,150312.4
PROD_1001,Sports,173.89,46.36,103,28,237.64,199.97,Floor Protected (Min: $199.97),26.08,5599.16
PROD_1002,Apparel,212.03,46.0,119,180,259.01,243.83,Floor Protected (Min: $243.83),31.8,43889.4
PROD_1003,Sports,277.52,20.27,155,459,487.37,319.15,Floor Protected (Min: $319.15),41.63,146489.85
PROD_1004,Sports,215.1,431.08,135,83,285.7,285.7,Hold Price,70.6,23713.1
PROD_1005,Home & Living,54.24,335.82,5,70,78.76,78.76,Hold Price,24.52,5513.2
PROD_1006,Apparel,177.12,168.66,109,436,213.57,203.69,Floor Protected (Min: $203.69),26.57,88808.84
PROD_1007,Apparel,185.95,143.99,116,162,318.86,213.84,Floor Protected (Min: $213.84),27.89,34642.08
PROD_1008,Apparel,133.0,167.12,30,285,217.95,217.95,Hold Price,84.95,62115.75
PROD_1009,Sports,223.57,351.97,60,57,395.28,395.28,Hold Price,171.71,22530.96
PROD_1010,Beauty,280.97,302.7,126,220,468.93,323.12,Floor Protected (Min: $323.12),42.15,71086.4
PROD_1011,Apparel,278.41,95.56,99,352,386.5,386.5,Hold Price,108.09,136048.0
PROD_1012,Sports,140.74,90.74,18,417,189.82,189.82,Hold Price,49.08,79154.94
PROD_1013,Home & Living,42.84,57.8,108,148,69.34,56.8,Match & Undercut,13.96,8406.4
PROD_1014,Beauty,295.6,302.23,44,119,419.3,419.3,Hold Price,123.7,49896.7
PROD_1015,Home & Living,253.28,347.5,81,491,389.98,389.98,Hold Price,136.7,191480.18
PROD_1016,Beauty,46.15,130.3,195,192,55.55,55.55,Hold Price,9.4,10665.6
PROD_1017,Sports,277.04,24.11,163,37,342.73,318.6,Floor Protected (Min: $318.6),41.56,11788.2
PROD_1018,Electronics,262.27,50.74,9,206,398.97,301.61,Floor Protected (Min: $301.61),39.34,62131.66
PROD_1019,Beauty,160.46,436.02,142,200,247.05,247.05,Hold Price,86.59,49410.0
PROD_1020,Home & Living,181.47,143.52,107,324,299.58,208.69,Floor Protected (Min: $208.69),27.22,67615.56
PROD_1021,Sports,125.71,349.61,9,398,160.81,360.1,Increase (High Demand / Low Stock),234.39,143319.8
PROD_1022,Beauty,25.88,286.73,97,60,39.02,39.02,Hold Price,13.14,2341.2
PROD_1023,Electronics,107.21,181.14,95,158,141.16,141.16,Hold Price,33.95,22303.28
PROD_1024,Electronics,242.83,104.47,66,277,304.97,304.97,Hold Price,62.14,84476.69
PROD_1025,Apparel,11.34,67.8,172,59,16.4,16.4,Hold Price,5.06,967.6
PROD_1026,Apparel,106.71,282.53,40,397,138.51,138.51,Hold Price,31.8,54988.47
PROD_1027,Home & Living,125.47,351.97,82,255,167.26,167.26,Hold Price,41.79,42651.3
PROD_1028,Beauty,165.84,295.1,188,122,230.61,230.61,Hold Price,64.77,28134.42
PROD_1029,Beauty,276.76,245.68,85,179,375.19,375.19,Hold Price,98.43,67159.01
PROD_1030,Apparel,110.44,33.25,89,477,138.33,138.33,Hold Price,27.89,65983.41
PROD_1031,Beauty,110.62,436.29,87,175,138.71,138.71,Hold Price,28.09,24274.25
PROD_1032,Beauty,223.88,362.44,94,418,294.61,294.61,Hold Price,70.73,123146.98
PROD_1033,Electronics,141.14,142.38,87,23,173.65,173.65,Hold Price,32.51,3993.95
PROD_1034,Apparel,75.14,441.29,45,212,118.41,118.41,Hold Price,43.27,25102.92
PROD_1035,Sports,141.21,276.82,138,297,193.8,193.8,Hold Price,52.59,57558.6
PROD_1036,Apparel,50.85,268.35,166,404,69.56,69.56,Hold Price,18.71,28102.24
PROD_1037,Sports,61.15,340.41,75,198,85.56,85.56,Hold Price,24.41,16940.88
PROD_1038,Electronics,154.53,368.12,37,411,246.89,246.89,Hold Price,92.36,101471.79
PROD_1039,Home & Living,131.49,300.57,102,164,226.48,226.48,Hold Price,94.99,37142.72
PROD_1040,Beauty,275.31,70.72,157,64,455.76,316.61,Floor Protected (Min: $316.61),41.3,20263.04
PROD_1041,Electronics,115.09,162.15,171,191,188.35,161.15,Match & Undercut,46.06,30779.65
PROD_1042,Beauty,178.37,418.72,172,219,265.88,265.88,Hold Price,87.51,58227.72
PROD_1043,Home & Living,193.36,112.71,171,385,312.52,222.36,Floor Protected (Min: $222.36),29.0,85608.6
PROD_1044,Home & Living,13.8,176.89,105,480,21.14,21.14,Hold Price,7.34,10147.2
PROD_1045,Electronics,202.43,202.95,67,84,269.18,269.18,Hold Price,66.75,22611.12
PROD_1046,Home & Living,61.63,206.14,56,286,81.67,81.67,Hold Price,20.04,23357.62
PROD_1047,Sports,288.71,281.63,177,437,397.79,332.02,Floor Protected (Min: $332.02),43.31,145092.74
PROD_1048,Home & Living,53.11,425.24,92,142,92.76,92.76,Hold Price,39.65,13171.92
PROD_1049,Beauty,130.24,119.7,23,352,199.07,199.07,Hold Price,68.83,70072.64
PROD_1050,Beauty,34.75,67.85,102,434,57.0,57.0,Hold Price,22.25,24738.0
PROD_1051,Beauty,299.09,100.9,156,68,421.1,343.95,Floor Protected (Min: $343.95),44.86,23388.6
PROD_1052,Beauty,155.64,400.81,122,354,224.84,224.84,Hold Price,69.2,79593.36
PROD_1053,Sports,182.66,295.93,94,498,232.95,232.95,Hold Price,50.29,116009.1
PROD_1054,Apparel,29.45,139.37,196,191,38.37,38.37,Hold Price,8.92,7328.67
PROD_1055,Electronics,227.49,369.94,109,467,385.92,368.94,Match & Undercut,141.45,172294.98
PROD_1056,Beauty,70.87,389.7,142,415,109.91,109.91,Hold Price,39.04,45612.65
PROD_1057,Home & Living,270.44,383.23,174,348,379.3,379.3,Hold Price,108.86,131996.4
PROD_1058,Beauty,69.49,414.73,11,330,116.86,427.17,Increase (High Demand / Low Stock),357.68,140966.1
PROD_1059,Home & Living,65.3,124.72,10,73,88.02,88.02,Hold Price,22.72,6425.46
PROD_1060,Home & Living,20.6,343.44,183,336,36.78,36.78,Hold Price,16.18,12358.08
PROD_1061,Beauty,146.9,215.33,156,269,206.67,206.67,Hold Price,59.77,55594.23
PROD_1062,Sports,173.8,381.27,35,202,243.73,243.73,Hold Price,69.93,49233.46
PROD_1063,Home & Living,29.06,331.89,130,152,40.31,40.31,Hold Price,11.25,6127.12
PROD_1064,Home & Living,234.9,352.75,161,113,299.09,299.09,Hold Price,64.19,33797.17
PROD_1065,Beauty,141.45,300.43,90,469,179.17,179.17,Hold Price,37.72,84030.73
PROD_1066,Home & Living,162.07,92.18,94,415,257.51,257.51,Hold Price,95.44,106866.65
PROD_1067,Home & Living,137.82,252.09,72,223,237.75,237.75,Hold Price,99.93,53018.25
PROD_1068,Beauty,126.22,443.33,68,251,211.33,211.33,Hold Price,85.11,53043.83
